03. 14:43:45, batch 61,  convothello.ckpt wr: 0.42, nvothello/drill_44.ckpt wr: 0.55
03. 14:44:51, batch 62,  convothello.ckpt wr: 0.50, nvothello/drill_46.ckpt wr: 0.47
03. 14:45:54, batch 63,  convothello.ckpt wr: 0.48, nvothello/drill_7.ckpt wr: 0.50
03. 14:46:57, batch 64,  convothello.ckpt wr: 0.52, nvothello/drill_18.ckpt wr: 0.43
03. 14:48:01, batch 65,  convothello.ckpt wr: 0.45, nvothello/drill_28.ckpt wr: 0.53
03. 14:49:06, batch 66,  convothello.ckpt wr: 0.50, nvothello/drill_43.ckpt wr: 0.47
03. 14:50:11, batch 67,  convothello.ckpt wr: 0.47, nvothello/drill_34.ckpt wr: 0.48
03. 14:51:14, batch 68,  convothello.ckpt wr: 0.46, nvothello/drill_12.ckpt wr: 0.52
03. 14:52:18, batch 69,  convothello.ckpt wr: 0.55, nvothello/drill_54.ckpt wr: 0.41
03. 14:53:22, batch 70,  convothello.ckpt wr: 0.45, nvothello/drill_41.ckpt wr: 0.51
03. 14:54:28, batch 71,  convothello.ckpt wr: 0.58, nvothello/drill_15.ckpt wr: 0.38
03. 14:55:34, batch 72,  convothello.ckpt wr: 0.55, nvothello/drill_55.ckpt wr: 0.43
03. 14:56:42, batch 73,  convothello.ckpt wr: 0.54, nvothello/drill_5.ckpt wr: 0.41
03. 14:57:44, batch 74,  convothello.ckpt wr: 0.57, nvothello/drill_56.ckpt wr: 0.38
03. 14:58:50, batch 75,  convothello.ckpt wr: 0.52, nvothello/drill_55.ckpt wr: 0.44
03. 14:59:55, batch 76,  convothello.ckpt wr: 0.53, nvothello/drill_7.ckpt wr: 0.41
03. 15:00:59, batch 77,  convothello.ckpt wr: 0.44, nvothello/drill_14.ckpt wr: 0.53
03. 15:02:04, batch 78,  convothello.ckpt wr: 0.51, nvothello/drill_10.ckpt wr: 0.45
03. 15:03:08, batch 79,  convothello.ckpt wr: 0.46, nvothello/drill_69.ckpt wr: 0.52
03. 15:04:11, batch 80,  convothello.ckpt wr: 0.57, nvothello/drill_60.ckpt wr: 0.40
03. 15:05:16, batch 81,  convothello.ckpt wr: 0.43, nvothello/drill_39.ckpt wr: 0.55
03. 15:06:23, batch 82,  convothello.ckpt wr: 0.56, nvothello/drill_3.ckpt wr: 0.44
03. 15:07:26, batch 83,  convothello.ckpt wr: 0.49, nvothello/drill_51.ckpt wr: 0.47
03. 15:08:32, batch 84,  convothello.ckpt wr: 0.59, nvothello/drill_6.ckpt wr: 0.38
03. 15:09:38, batch 85,  convothello.ckpt wr: 0.57, nvothello/drill_73.ckpt wr: 0.38
03. 15:10:41, batch 86,  convothello.ckpt wr: 0.55, nvothello/drill_24.ckpt wr: 0.43
03. 15:11:48, batch 87,  convothello.ckpt wr: 0.50, nvothello/drill_60.ckpt wr: 0.46
03. 15:12:57, batch 88,  convothello.ckpt wr: 0.48, nvothello/drill_84.ckpt wr: 0.51
03. 15:14:00, batch 89,  convothello.ckpt wr: 0.44, nvothello/drill_67.ckpt wr: 0.52
03. 15:15:07, batch 90,  convothello.ckpt wr: 0.50, nvothello/drill_70.ckpt wr: 0.47
03. 15:16:13, batch 91,  convothello.ckpt wr: 0.57, nvothello/drill_88.ckpt wr: 0.42
03. 15:17:19, batch 92,  convothello.ckpt wr: 0.52, nvothello/drill_14.ckpt wr: 0.47
03. 15:18:26, batch 93,  convothello.ckpt wr: 0.53, nvothello/drill_79.ckpt wr: 0.45
03. 15:19:28, batch 94,  convothello.ckpt wr: 0.53, nvothello/drill_29.ckpt wr: 0.45
03. 15:20:33, batch 95,  convothello.ckpt wr: 0.48, nvothello/drill_63.ckpt wr: 0.48
03. 15:21:37, batch 96,  convothello.ckpt wr: 0.46, nvothello/drill_28.ckpt wr: 0.49
03. 15:22:42, batch 97,  convothello.ckpt wr: 0.61, nvothello/drill_4.ckpt wr: 0.37
03. 15:23:50, batch 98,  convothello.ckpt wr: 0.49, nvothello/drill_49.ckpt wr: 0.48
03. 15:24:55, batch 99,  convothello.ckpt wr: 0.49, nvothello/drill_86.ckpt wr: 0.46
03. 15:25:59, batch 100,  convothello.ckpt wr: 0.50, nvothello/drill_40.ckpt wr: 0.47
03. 15:27:07, batch 101,  convothello.ckpt wr: 0.52,  wr: 0.41
03. 15:28:13, batch 102,  convothello.ckpt wr: 0.58, nvothello/drill_34.ckpt wr: 0.41
03. 15:29:22, batch 103,  convothello.ckpt wr: 0.48, nvothello/drill_85.ckpt wr: 0.48
03. 15:30:29, batch 104,  convothello.ckpt wr: 0.53, nvothello/drill_28.ckpt wr: 0.43
03. 15:31:35, batch 105,  convothello.ckpt wr: 0.48, nvothello/drill_88.ckpt wr: 0.50
