07. Feb 16:34:24, Step 22250: 0.525 2.1029993693
07. Feb 16:34:57, Step 22500: 0.4875 2.15538279215
07. Feb 16:35:32, Step 22750: 0.508333333333 2.12414182027
07. Feb 16:36:06, Step 23000: 0.541666666667 2.14488779704
07. Feb 16:36:39, Step 23250: 0.516666666667 2.17614339193
07. Feb 16:37:14, Step 23500: 0.516666666667 2.17374445597
07. Feb 16:37:48, Step 23750: 0.495833333333 2.20649261475
07. Feb 16:38:23, Step 24000: 0.5 2.18021519979
07. Feb 16:38:57, Step 24250: 0.525 2.15212504069
07. Feb 16:39:31, Step 24500: 0.533333333333 2.13436075846
07. Feb 16:40:05, Step 24750: 0.525 2.15779062907
07. Feb 16:40:39, Step 25000: 0.516666666667 2.16005706787
07. Feb 16:41:13, Step 25250: 0.495833333333 2.16675389608
07. Feb 16:41:46, Step 25500: 0.520833333333 2.1103632609
07. Feb 16:42:20, Step 25750: 0.529166666667 2.10579897563
07. Feb 16:42:55, Step 26000: 0.5125 2.13983510335
07. Feb 16:43:29, Step 26250: 0.529166666667 2.11313196818
07. Feb 16:44:03, Step 26500: 0.520833333333 2.07893091838
07. Feb 16:44:38, Step 26750: 0.533333333333 2.10506477356
07. Feb 16:45:12, Step 27000: 0.5375 2.08428980509
07. Feb 16:45:46, Step 27250: 0.5375 2.10723520915
07. Feb 16:46:21, Step 27500: 0.533333333333 2.11391347249
07. Feb 16:46:55, Step 27750: 0.516666666667 2.09224217733
07. Feb 16:47:30, Step 28000: 0.525 2.11777966817
07. Feb 16:48:04, Step 28250: 0.5375 2.08762995402
07. Feb 16:48:38, Step 28500: 0.5375 2.10038159688
07. Feb 16:49:13, Step 28750: 0.533333333333 2.10789260864
07. Feb 16:49:47, Step 29000: 0.529166666667 2.0988252004
07. Feb 16:50:21, Step 29250: 0.525 2.11709810893
07. Feb 16:50:56, Step 29500: 0.529166666667 2.08854179382
07. Feb 16:51:30, Step 29750: 0.525 2.10506248474
07. Feb 16:52:04, Step 30000: 0.55 2.10248413086
07. Feb 16:52:39, Step 30250: 0.529166666667 2.09645118713
07. Feb 16:53:13, Step 30500: 0.516666666667 2.06256027222
07. Feb 16:53:48, Step 30750: 0.5125 2.08757680257
07. Feb 16:54:23, Step 31000: 0.516666666667 2.10451253255
07. Feb 16:54:57, Step 31250: 0.504166666667 2.10214284261
07. Feb 16:55:32, Step 31500: 0.5125 2.1278600057
07. Feb 16:56:07, Step 31750: 0.5 2.13101768494
07. Feb 16:56:41, Step 32000: 0.525 2.10232035319
07. Feb 16:57:15, Step 32250: 0.504166666667 2.0890490214
07. Feb 16:57:50, Step 32500: 0.516666666667 2.10656000773
07. Feb 16:58:25, Step 32750: 0.525 2.08639221191
07. Feb 16:59:00, Step 33000: 0.533333333333 2.11195551554
07. Feb 16:59:34, Step 33250: 0.541666666667 2.07115198771
07. Feb 17:00:08, Step 33500: 0.533333333333 2.07994918823
07. Feb 17:00:42, Step 33750: 0.525 2.07463048299
07. Feb 17:01:15, Step 34000: 0.5125 2.09908040365
07. Feb 17:01:50, Step 34250: 0.545833333333 2.09741999308
07. Feb 17:02:23, Step 34500: 0.529166666667 2.04668668111
07. Feb 17:02:57, Step 34750: 0.545833333333 2.03133303324
07. Feb 17:03:31, Step 35000: 0.5125 2.0475499471
07. Feb 17:04:05, Step 35250: 0.55 2.06158955892
07. Feb 17:04:39, Step 35500: 0.545833333333 2.04511693319
07. Feb 17:05:14, Step 35750: 0.5125 2.09293060303
07. Feb 17:05:48, Step 36000: 0.5375 2.08510602315
07. Feb 17:06:22, Step 36250: 0.5375 2.05202585856
07. Feb 17:06:55, Step 36500: 0.516666666667 2.11757761637
07. Feb 17:07:28, Step 36750: 0.504166666667 2.15078837077
07. Feb 17:08:01, Step 37000: 0.475 2.23669840495
07. Feb 17:08:33, Step 37250: 0.529166666667 2.18183949788
07. Feb 17:09:06, Step 37500: 0.541666666667 2.09578857422
07. Feb 17:09:37, Step 37750: 0.529166666667 2.12408485413
07. Feb 17:10:10, Step 38000: 0.545833333333 2.05546798706
07. Feb 17:10:42, Step 38250: 0.541666666667 2.05054473877
07. Feb 17:11:16, Step 38500: 0.491666666667 2.1680750529
07. Feb 17:11:48, Step 38750: 0.545833333333 2.08173599243
07. Feb 17:12:19, Step 39000: 0.525 2.12586288452
07. Feb 17:12:50, Step 39250: 0.5375 2.08121274312
07. Feb 17:13:21, Step 39500: 0.520833333333 2.18340606689
07. Feb 17:13:53, Step 39750: 0.545833333333 2.11252187093
07. Feb 17:14:25, Step 40000: 0.541666666667 2.11853802999
07. Feb 17:14:57, Step 40250: 0.516666666667 2.2840655009
