12. Mar 21:03:22, Step 0: 0.230465793304 36.3614232346
12. Mar 22:09:49, Step 0: 0.421572052402 2.65223994739
12. Mar 23:19:23, Step 0: 0.458224163028 2.51146126709
13. Mar 00:33:41, Step 0: 0.477933042213 2.4247427109
13. Mar 01:38:00, Step 0: 0.48866084425 2.35770161761
13. Mar 02:39:17, Step 0: 0.49770014556 2.32704057342
13. Mar 03:45:06, Step 0: 0.505705967977 2.28395878632
13. Mar 04:49:19, Step 0: 0.509461426492 2.26794707743
13. Mar 05:53:09, Step 0: 0.51500727802 2.23235503889
13. Mar 06:57:01, Step 0: 0.522649199418 2.22681046339
13. Mar 08:08:08, Step 0: 0.524381368268 2.19828270244
13. Mar 09:17:38, Step 0: 0.529519650655 2.16921455229
13. Mar 10:24:45, Step 0: 0.525938864629 2.17736827272
1e-4 to 5e-5
13. Mar 12:18:37, Step 0: 0.525938864629 2.17736827272
13. Mar 13:20:38, Step 0: 0.53576419214 2.13050056912
13. Mar 14:29:59, Step 0: 0.539752547307 2.12047760372
13. Mar 15:36:26, Step 0: 0.540815138282 2.11163460205
13. Mar 16:43:08, Step 0: 0.535705967977 2.10990718075
13. Mar 17:39:26, Step 0: 0.543959243086 2.09808428612
13. Mar 18:36:56, Step 0: 0.542168850073 2.09569038481
13. Mar 19:36:58, Step 0: 0.540072780204 2.09731542859
13. Mar 20:40:23, Step 0: 0.546521106259 2.09384029288
13. Mar 21:50:56, Step 0: 0.546986899563 2.07377931326
13. Mar 22:59:38, Step 0: 0.546812227074 2.07539865673
13. Mar 23:54:58, Step 0: 0.546710334789 2.06954489654
14. Mar 00:48:18, Step 0: 0.549883551674 2.06726112518
14. Mar 01:46:09, Step 0: 0.550902474527 2.06387879048
14. Mar 02:48:52, Step 0: 0.550480349345 2.06702946466
14. Mar 03:57:49, Step 0: 0.552168850073 2.05735832227
14. Mar 05:03:16, Step 0: 0.551819505095 2.0536266727
14. Mar 05:53:47, Step 0: 0.55269286754 2.04720881003
14. Mar 06:47:17, Step 0: 0.552620087336 2.04498021765
14. Mar 07:49:31, Step 0: 0.555676855895 2.04306240606
14. Mar 08:59:02, Step 0: 0.551251819505 2.04912890175
14. Mar 10:10:01, Step 0: 0.552401746725 2.03956013688
14. Mar 11:13:54, Step 0: 0.554294032023 2.03457373553
14. Mar 12:14:26, Step 0: 0.554774381368 2.05169609242
14. Mar 13:10:25, Step 0: 0.556186317322 2.03016124119
14. Mar 14:09:29, Step 0: 0.55691411936 2.02555516439
14. Mar 15:13:29, Step 0: 0.557147016012 2.0205790236
14. Mar 16:18:01, Step 0: 0.558151382824 2.022808072
14. Mar 17:21:26, Step 0: 0.559359534207 2.03182003079
14. Mar 18:17:50, Step 0: 0.554497816594 2.02535952982
14. Mar 19:13:55, Step 0: 0.555618631732 2.02934814927
14. Mar 20:14:06, Step 0: 0.562183406114 2.01165074533
14. Mar 21:19:18, Step 0: 0.560014556041 2.01958511791
14. Mar 22:29:11, Step 0: 0.559315866084 2.0067165588
14. Mar 23:40:35, Step 0: 0.560320232897 2.01460624097
15. Mar 00:52:46, Step 0: 0.563871906841 2.00268872123
15. Mar 02:04:42, Step 0: 0.55404657933 2.00133911633
15. Mar 03:08:44, Step 0: 0.563828238719 2.00363953259
15. Mar 04:15:40, Step 0: 0.565327510917 1.99952505035
15. Mar 05:19:54, Step 0: 0.561077147016 2.00194836524
15. Mar 06:23:33, Step 0: 0.562125181951 1.99577151159
15. Mar 07:24:45, Step 0: 0.56422125182 1.993076178
15. Mar 08:29:39, Step 0: 0.558966521106 1.99777300371
15. Mar 09:34:01, Step 0: 0.565094614265 1.98569769945
15. Mar 10:44:02, Step 0: 0.563333333333 1.99137269799
5e-5 to 2.5e-5
