1e-4
1e-4
17. Mar 21:18:48, Step 0: 0.19606856717 1.09476
17. Mar 23:37:26, Step 0: 0.472591764487 0.0354426
18. Mar 01:39:51, Step 0: 0.499291969443 0.0338964
18. Mar 03:46:24, Step 0: 0.508952860071 0.0330516
18. Mar 05:54:44, Step 0: 0.518585802124 0.0325823
18. Mar 08:11:37, Step 0: 0.525759269611 0.0321758
18. Mar 10:43:39, Step 0: 0.532150177008 0.0318401
18. Mar 13:01:07, Step 0: 0.533966834358 0.0315764
18. Mar 15:20:33, Step 0: 0.538820570151 0.0313069
18. Mar 17:53:48, Step 0: 0.540180734116 0.0312245
18. Mar 20:16:19, Step 0: 0.544270542202 0.0310367
18. Mar 22:47:48, Step 0: 0.548583938886 0.0306982
19. Mar 01:26:22, Step 0: 0.547493944475 0.0305884
19. Mar 04:02:40, Step 0: 0.549618036147 0.0304657
19. Mar 06:35:33, Step 0: 0.550354015279 0.0303247
19. Mar 09:12:15, Step 0: 0.551704863052 0.0302269
19. Mar 11:51:07, Step 0: 0.555831935905 0.0301889
19. Mar 14:18:54, Step 0: 0.553269983231 0.0301556
19. Mar 16:54:06, Step 0: 0.556158002609 0.0299796
19. Mar 19:24:52, Step 0: 0.558449785728 0.0298382
5e-5
19. Mar 20:19:29, Step 0: 0.558449785728 0.0298382
19. Mar 23:02:27, Step 0: 0.563042668157 0.0295888
20. Mar 01:08:46, Step 0: 0.565912055152 0.0296285
20. Mar 03:24:21, Step 0: 0.558300726663 0.0295999
20. Mar 05:44:45, Step 0: 0.564700950252 0.0294801
20. Mar 08:11:52, Step 0: 0.564952487423 0.0295306
20. Mar 10:35:17, Step 0: 0.567924352525 0.0294476
20. Mar 13:02:52, Step 0: 0.567728712502 0.0293382
20. Mar 15:34:05, Step 0: 0.564980435998 0.0293919
20. Mar 18:24:45, Step 0: 0.565921371343 0.0293813
20. Mar 21:06:19, Step 0: 0.564924538849 0.0293839
20. Mar 23:47:15, Step 0: 0.568008198249 0.0293333
21. Mar 02:33:58, Step 0: 0.569815539407 0.0292631
21. Mar 04:53:33, Step 0: 0.568119992547 0.0292458
21. Mar 07:38:37, Step 0: 0.569843487982 0.0292202
21. Mar 10:24:39, Step 0: 0.569573318427 0.0292902
21. Mar 13:22:45, Step 0: 0.566797093348 0.0292469
2.5e-5
2.5e-5
21. Mar 15:27:13, Step 0: 0.566797093348 0.0292469
21. Mar 17:59:33, Step 0: 0.571930314887 0.0290895
21. Mar 20:15:59, Step 0: 0.573998509409 0.0290314
21. Mar 22:17:32, Step 0: 0.571902366313 0.029041
22. Mar 00:49:33, Step 0: 0.573188000745 0.0290287
22. Mar 03:20:06, Step 0: 0.574361840879 0.029011
22. Mar 05:43:09, Step 0: 0.574743804733 0.028977
22. Mar 08:00:32, Step 0: 0.572265697783 0.0290416
22. Mar 10:35:24, Step 0: 0.574203465623 0.0289673
22. Mar 13:21:49, Step 0: 0.57442705422 0.0289896
22. Mar 16:10:13, Step 0: 0.572638345444 0.0289817
22. Mar 19:09:38, Step 0: 0.574995341904 0.0289315
1e-5
22. Mar 21:10:14, Step 0: 0.574995341904 0.0289315
22. Mar 23:34:42, Step 0: 0.576001490591 0.0288859
23. Mar 02:03:06, Step 0: 0.57629960872 0.0289003
23. Mar 04:29:31, Step 0: 0.576029439165 0.0288699
23. Mar 06:54:55, Step 0: 0.576392770635 0.0288824
23. Mar 09:17:22, Step 0: 0.577156698342 0.0288523
23. Mar 11:47:01, Step 0: 0.577296441215 0.0288461
23. Mar 14:14:12, Step 0: 0.574762437116 0.0288932
23. Mar 16:29:02, Step 0: 0.575116452394 0.0288394
23. Mar 18:44:55, Step 0: 0.577296441215 0.0288221
23. Mar 21:19:12, Step 0: 0.576653623999 0.0288457
