28. Feb 23:14:06, Step 60000: 0.523177083333 2.08219617208
28. Feb 23:16:25, Step 64000: 0.522395833333 2.07028401693
28. Feb 23:18:43, Step 68000: 0.519270833333 2.08388888041
28. Feb 23:21:00, Step 72000: 0.522135416667 2.05884005229
28. Feb 23:23:19, Step 76000: 0.512760416667 2.07412160238
28. Feb 23:25:34, Step 80000: 0.524479166667 2.07092908223
28. Feb 23:27:51, Step 84000: 0.526041666667 2.0672648112
28. Feb 23:30:10, Step 88000: 0.526822916667 2.03707542419
28. Feb 23:32:26, Step 92000: 0.527604166667 2.17753067017
28. Feb 23:34:43, Step 96000: 0.52578125 2.06119397481
28. Feb 23:37:02, Step 100000: 0.52890625 2.03205706278
28. Feb 23:39:14, Step 104000: 0.52578125 2.03034795125
28. Feb 23:41:18, Step 108000: 0.525520833333 2.05624809265
28. Feb 23:43:14, Step 112000: 0.533072916667 2.03721745809
28. Feb 23:45:13, Step 116000: 0.53828125 2.0340133667
28. Feb 23:46:12, Step 0: 0.539322916667 2.02142868042
28. Feb 23:46:47, Step 20: 0.539322916667 2.02303326925
28. Feb 23:47:20, Step 40: 0.53828125 2.02409057617
28. Feb 23:47:57, Step 60: 0.534895833333 2.02608019511
28. Feb 23:48:29, Step 80: 0.538020833333 2.01988754272
28. Feb 23:49:05, Step 100: 0.538541666667 2.02333539327
28. Feb 23:51:12, Step 4000: 0.531770833333 2.0342221578
28. Feb 23:53:24, Step 8000: 0.52578125 2.02719205221
28. Feb 23:55:42, Step 12000: 0.53203125 2.01626548767
28. Feb 23:57:55, Step 16000: 0.53828125 2.02084007263
01. Mar 00:00:08, Step 20000: 0.534635416667 2.02975794474
01. Mar 00:02:24, Step 24000: 0.5234375 2.09176139832
01. Mar 00:04:38, Step 28000: 0.534635416667 2.04137191772
01. Mar 00:06:51, Step 32000: 0.528645833333 2.03917236328
01. Mar 00:09:05, Step 36000: 0.535677083333 2.01027247111
01. Mar 00:11:21, Step 40000: 0.53359375 2.05605723063
01. Mar 00:13:37, Step 44000: 0.532291666667 2.01873003642
01. Mar 00:16:00, Step 48000: 0.5328125 2.10463116964
01. Mar 00:18:17, Step 52000: 0.545572916667 1.9988155365
01. Mar 00:20:35, Step 56000: 0.5328125 2.21277211507
01. Mar 00:22:50, Step 60000: 0.540885416667 1.99300587972
01. Mar 00:25:05, Step 64000: 0.550520833333 1.99156188965
01. Mar 00:27:22, Step 68000: 0.533333333333 2.02448679606
01. Mar 00:29:38, Step 72000: 0.543229166667 1.99161148071
01. Mar 00:31:54, Step 76000: 0.529947916667 2.00052452087
01. Mar 00:34:09, Step 80000: 0.531510416667 2.01159973145
01. Mar 00:36:23, Step 84000: 0.541145833333 1.98970451355
01. Mar 00:38:42, Step 88000: 0.537239583333 1.99096183777
01. Mar 00:40:53, Step 92000: 0.535416666667 2.12622261047
01. Mar 00:43:09, Step 96000: 0.53515625 2.0162823995
01. Mar 00:45:25, Step 100000: 0.54609375 1.97627843221
01. Mar 00:47:40, Step 104000: 0.5375 1.97092208862
01. Mar 00:49:53, Step 108000: 0.54375 1.99802805583
01. Mar 00:52:08, Step 112000: 0.55078125 1.96896336873
01. Mar 00:54:20, Step 116000: 0.54609375 1.97342745463
01. Mar 00:55:23, Step 0: 0.534375 1.97824732463
01. Mar 00:55:56, Step 20: 0.532291666667 1.99308230082
01. Mar 00:56:32, Step 40: 0.539583333333 1.98052635193
01. Mar 00:57:08, Step 60: 0.540364583333 1.97738215129
01. Mar 00:57:42, Step 80: 0.541666666667 1.97366078695
01. Mar 00:58:17, Step 100: 0.534635416667 1.97338460286
01. Mar 01:00:26, Step 4000: 0.53828125 1.96862131755
01. Mar 01:02:36, Step 8000: 0.5421875 1.97277170817
01. Mar 01:04:55, Step 12000: 0.542708333333 1.97384020487
01. Mar 01:07:09, Step 16000: 0.552083333333 1.969079717
01. Mar 01:09:25, Step 20000: 0.553385416667 1.96275685628
01. Mar 01:11:38, Step 24000: 0.537760416667 2.09819030762
01. Mar 01:13:51, Step 28000: 0.53828125 2.00137367249
01. Mar 01:16:06, Step 32000: 0.54375 1.97589136759
01. Mar 01:18:21, Step 36000: 0.543489583333 1.97418746948
01. Mar 01:20:36, Step 40000: 0.538541666667 2.02326176961
01. Mar 01:22:53, Step 44000: 0.542708333333 1.96133244832
01. Mar 01:25:07, Step 48000: 0.53671875 2.08862342834
01. Mar 01:27:21, Step 52000: 0.53984375 1.97318115234
01. Mar 01:29:36, Step 56000: 0.528125 2.20961837769
01. Mar 01:31:52, Step 60000: 0.539322916667 1.95815938314
01. Mar 01:34:08, Step 64000: 0.548177083333 1.96645927429
01. Mar 01:36:26, Step 68000: 0.542708333333 1.96848475138
01. Mar 01:38:43, Step 72000: 0.543489583333 1.95038108826
01. Mar 01:40:58, Step 76000: 0.545052083333 1.95600026449
01. Mar 01:43:12, Step 80000: 0.53671875 1.99630978902
01. Mar 01:45:31, Step 84000: 0.542708333333 1.96097068787
01. Mar 01:47:49, Step 88000: 0.5453125 1.95199025472
01. Mar 01:50:05, Step 92000: 0.5421875 2.17484766642
01. Mar 01:52:17, Step 96000: 0.536458333333 1.97545623779
01. Mar 01:54:29, Step 100000: 0.552083333333 1.94740231832
01. Mar 01:56:44, Step 104000: 0.553645833333 1.93284009298
01. Mar 01:58:57, Step 108000: 0.549739583333 1.95597813924
01. Mar 02:01:07, Step 112000: 0.551822916667 1.9333366394
01. Mar 02:03:19, Step 116000: 0.548697916667 1.94046847026
01. Mar 02:04:24, Step 0: 0.550520833333 1.94472986857
01. Mar 02:05:01, Step 20: 0.55 1.94222081502
01. Mar 02:05:33, Step 40: 0.550260416667 1.94776522319
01. Mar 02:06:08, Step 60: 0.545572916667 1.96326039632
01. Mar 02:06:41, Step 80: 0.54375 1.95251401265
01. Mar 02:07:17, Step 100: 0.549479166667 1.94073155721
01. Mar 02:09:30, Step 4000: 0.54921875 1.93530845642
01. Mar 02:11:48, Step 8000: 0.546875 1.93884938558
01. Mar 02:14:15, Step 12000: 0.552604166667 1.93266817729
01. Mar 02:16:44, Step 16000: 0.555208333333 1.93275578817
01. Mar 02:19:13, Step 20000: 0.557291666667 1.92671826681
01. Mar 02:21:42, Step 24000: 0.540104166667 2.1104511261
01. Mar 02:24:10, Step 28000: 0.55703125 1.96325302124
01. Mar 02:26:40, Step 32000: 0.5546875 1.93851992289
01. Mar 02:29:06, Step 36000: 0.553385416667 1.93837216695
01. Mar 02:31:32, Step 40000: 0.552604166667 2.00110600789
01. Mar 02:34:00, Step 44000: 0.55703125 1.93759333293
01. Mar 02:36:28, Step 48000: 0.546614583333 2.0864267985
01. Mar 02:38:52, Step 52000: 0.546875 1.92659327189
01. Mar 02:41:17, Step 56000: 0.551041666667 2.20943578084
01. Mar 02:43:36, Step 60000: 0.555989583333 1.92867279053
01. Mar 02:46:00, Step 64000: 0.553385416667 1.93239326477
01. Mar 02:48:21, Step 68000: 0.551822916667 1.94424934387
01. Mar 02:50:43, Step 72000: 0.562760416667 1.91519927979
01. Mar 02:53:00, Step 76000: 0.556770833333 1.93510716756
01. Mar 02:55:17, Step 80000: 0.555208333333 1.97321383158
01. Mar 02:57:36, Step 84000: 0.570572916667 1.92174491882
01. Mar 02:59:55, Step 88000: 0.557552083333 1.92202377319
01. Mar 03:02:16, Step 92000: 0.562239583333 2.11598230998
01. Mar 03:04:37, Step 96000: 0.547395833333 1.93806940715
01. Mar 03:06:53, Step 100000: 0.55703125 1.9200911204
01. Mar 03:09:08, Step 104000: 0.559375 1.91837552389
01. Mar 03:11:23, Step 108000: 0.558333333333 1.95457992554
01. Mar 03:13:38, Step 112000: 0.562760416667 1.90512390137
01. Mar 03:15:54, Step 116000: 0.561197916667 1.90815327962
01. Mar 03:16:56, Step 0: 0.56015625 1.91065305074
01. Mar 03:17:29, Step 20: 0.5625 1.90825589498
01. Mar 03:18:03, Step 40: 0.5625 1.90472208659
01. Mar 03:18:38, Step 60: 0.55703125 1.90941772461
01. Mar 03:19:09, Step 80: 0.562239583333 1.91531384786
01. Mar 03:19:46, Step 100: 0.563541666667 1.90991045634
