12. Mar 21:05:22, Step 0: 0.224905385735 571.256118026
12. Mar 22:12:49, Step 0: 0.410014556041 2.764180998
12. Mar 23:26:42, Step 0: 0.442736535662 2.55107498687
13. Mar 00:39:27, Step 0: 0.471077147016 2.45029764728
13. Mar 01:50:00, Step 0: 0.481935953421 2.38617602368
13. Mar 02:58:38, Step 0: 0.491179039301 2.32845561786
13. Mar 04:02:44, Step 0: 0.500145560408 2.3073792994
13. Mar 05:06:44, Step 0: 0.503682678311 2.26587467349
13. Mar 06:07:27, Step 0: 0.510698689956 2.23552623419
13. Mar 07:09:04, Step 0: 0.517612809316 2.20909983474
13. Mar 08:12:40, Step 0: 0.517088791849 2.19487049812
13. Mar 09:19:35, Step 0: 0.528093158661 2.17007507078
13. Mar 10:24:46, Step 0: 0.523915574964 2.16437567492
1e-4 to 5e-5
13. Mar 12:19:23, Step 0: 0.523915574964 2.16437567492
13. Mar 13:20:38, Step 0: 0.533901018923 2.13523866505
13. Mar 14:29:56, Step 0: 0.53403202329 2.12021789769
13. Mar 15:37:58, Step 0: 0.533042212518 2.12317704153
13. Mar 16:52:45, Step 0: 0.538122270742 2.11645729056
13. Mar 18:05:00, Step 0: 0.538355167394 2.11459785012
13. Mar 19:19:09, Step 0: 0.53037845706 2.11878917252
13. Mar 20:25:02, Step 0: 0.539024745269 2.09548859391
13. Mar 21:06:48, Step 0: 0.538762736536 2.10510843354
13. Mar 22:05:42, Step 0: 0.541790393013 2.09476784698
13. Mar 23:09:55, Step 0: 0.541848617176 2.08429159309
14. Mar 00:20:06, Step 0: 0.542969432314 2.07495676886
14. Mar 01:32:14, Step 0: 0.545836972344 2.08525448911
14. Mar 02:34:51, Step 0: 0.544133915575 2.08216788638
14. Mar 03:28:29, Step 0: 0.543668122271 2.07433429524
14. Mar 04:27:08, Step 0: 0.545065502183 2.07625598304
14. Mar 05:27:52, Step 0: 0.547729257642 2.06186338961
14. Mar 06:31:24, Step 0: 0.545429403202 2.07235537635
14. Mar 07:43:05, Step 0: 0.549592430859 2.05646428597
14. Mar 08:52:57, Step 0: 0.548558951965 2.07194746231
14. Mar 09:56:27, Step 0: 0.5465356623 2.05449927583
14. Mar 10:57:33, Step 0: 0.542852983988 2.0537673563
14. Mar 11:57:11, Step 0: 0.547976710335 2.04530171502
14. Mar 12:56:53, Step 0: 0.549927219796 2.04645340523
14. Mar 14:04:44, Step 0: 0.553420669578 2.03704858122
14. Mar 15:12:11, Step 0: 0.553158660844 2.04800639711
14. Mar 16:18:01, Step 0: 0.553901018923 2.03450122762
14. Mar 17:21:26, Step 0: 0.553478893741 2.03475979359
14. Mar 18:19:53, Step 0: 0.556870451237 2.03008394501
14. Mar 19:19:40, Step 0: 0.554643377001 2.03426865506
14. Mar 20:24:04, Step 0: 0.553871906841 2.02481389635
14. Mar 21:28:06, Step 0: 0.546841339156 2.03539343981
14. Mar 22:34:31, Step 0: 0.556069868996 2.01781118209
14. Mar 23:45:20, Step 0: 0.556419213974 2.01956801699
15. Mar 00:56:51, Step 0: 0.552852983988 2.02354021955
15. Mar 02:07:45, Step 0: 0.556564774381 2.01494575131
15. Mar 03:12:46, Step 0: 0.553901018923 2.01929485823
15. Mar 04:18:38, Step 0: 0.5565356623 2.0112337108
15. Mar 05:23:00, Step 0: 0.560727802038 2.01292898237
15. Mar 06:25:25, Step 0: 0.556812227074 2.00361171509
15. Mar 07:24:46, Step 0: 0.558806404658 2.0033378723
15. Mar 08:29:39, Step 0: 0.555822416303 2.00240940615
15. Mar 09:37:41, Step 0: 0.558733624454 2.00896179608
15. Mar 10:51:03, Step 0: 0.55943231441 1.99860935288
5e-5 to 2.5e-5
15. Mar 11:33:23, Step 0: 0.55943231441 1.99860935288
15. Mar 12:30:36, Step 0: 0.563202328967 1.98986166037
15. Mar 13:32:47, Step 0: 0.565298398836 1.98830023203
15. Mar 14:36:46, Step 0: 0.56229985444 1.98861397697
15. Mar 15:35:12, Step 0: 0.563580786026 1.9876444686
15. Mar 16:28:29, Step 0: 0.565647743814 1.98138575853
15. Mar 17:25:44, Step 0: 0.564454148472 1.9814074197
15. Mar 18:24:02, Step 0: 0.56596797671 1.9806298977
15. Mar 19:21:11, Step 0: 0.566957787482 1.98332887949
15. Mar 20:21:56, Step 0: 0.566360989811 1.99285637413
15. Mar 21:20:05, Step 0: 0.56595342067 1.9847026537
