27. 21:13:09, batch 1,  layers8filters64.ckpt wr: 0.52,  wr: 0.45
27. 21:14:19, batch 2,  layers8filters64.ckpt wr: 0.49, drill_1.ckpt wr: 0.49
27. 21:15:29, batch 3,  layers8filters64.ckpt wr: 0.48, drill_2.ckpt wr: 0.49
27. 21:16:41, batch 4,  layers8filters64.ckpt wr: 0.51, drill_3.ckpt wr: 0.46
27. 21:17:54, batch 5,  layers8filters64.ckpt wr: 0.51, drill_1.ckpt wr: 0.45
27. 21:19:06, batch 6,  layers8filters64.ckpt wr: 0.51, drill_2.ckpt wr: 0.46
27. 21:20:19, batch 7,  layers8filters64.ckpt wr: 0.52, drill_3.ckpt wr: 0.48
27. 21:21:33, batch 8,  layers8filters64.ckpt wr: 0.47, drill_4.ckpt wr: 0.48
27. 21:22:46, batch 9,  layers8filters64.ckpt wr: 0.46, drill_6.ckpt wr: 0.52
27. 21:24:02, batch 10,  layers8filters64.ckpt wr: 0.47, drill_9.ckpt wr: 0.48
27. 21:25:17, batch 11,  layers8filters64.ckpt wr: 0.48, drill_2.ckpt wr: 0.48
27. 21:26:33, batch 12,  layers8filters64.ckpt wr: 0.48, drill_4.ckpt wr: 0.50
27. 21:27:44, batch 13,  layers8filters64.ckpt wr: 0.45, drill_5.ckpt wr: 0.50
27. 21:28:54, batch 14,  layers8filters64.ckpt wr: 0.52, drill_11.ckpt wr: 0.44
27. 21:30:06, batch 15,  layers8filters64.ckpt wr: 0.52, drill_3.ckpt wr: 0.45
27. 21:31:18, batch 16,  layers8filters64.ckpt wr: 0.55, drill_6.ckpt wr: 0.45
27. 21:32:35, batch 17,  layers8filters64.ckpt wr: 0.50, drill_7.ckpt wr: 0.48
27. 21:33:46, batch 18,  layers8filters64.ckpt wr: 0.54, drill_17.ckpt wr: 0.44
27. 21:34:59, batch 19,  layers8filters64.ckpt wr: 0.50, drill_17.ckpt wr: 0.47
27. 21:36:17, batch 20,  layers8filters64.ckpt wr: 0.53, drill_10.ckpt wr: 0.42
27. 21:37:33, batch 21,  layers8filters64.ckpt wr: 0.55, drill_16.ckpt wr: 0.43
27. 21:38:49, batch 22,  layers8filters64.ckpt wr: 0.48, drill_1.ckpt wr: 0.48
27. 21:40:06, batch 23,  layers8filters64.ckpt wr: 0.52, drill_5.ckpt wr: 0.48
27. 21:41:21, batch 24,  layers8filters64.ckpt wr: 0.47, drill_14.ckpt wr: 0.51
27. 21:42:47, batch 25,  layers8filters64.ckpt wr: 0.53, drill_13.ckpt wr: 0.45
27. 21:44:12, batch 26,  layers8filters64.ckpt wr: 0.57, drill_4.ckpt wr: 0.41
27. 21:45:44, batch 27,  layers8filters64.ckpt wr: 0.52, drill_10.ckpt wr: 0.45
27. 21:47:07, batch 28,  layers8filters64.ckpt wr: 0.41, drill_13.ckpt wr: 0.57
27. 21:48:30, batch 29,  layers8filters64.ckpt wr: 0.58, drill_12.ckpt wr: 0.38
27. 21:49:53, batch 30,  layers8filters64.ckpt wr: 0.59, drill_20.ckpt wr: 0.40
27. 21:51:23, batch 31,  layers8filters64.ckpt wr: 0.49, drill_19.ckpt wr: 0.49
27. 21:52:39, batch 32,  layers8filters64.ckpt wr: 0.49, drill_15.ckpt wr: 0.46
27. 21:53:55, batch 33,  layers8filters64.ckpt wr: 0.46, drill_11.ckpt wr: 0.49
27. 21:55:18, batch 34,  layers8filters64.ckpt wr: 0.52, drill_1.ckpt wr: 0.44
27. 21:56:46, batch 35,  layers8filters64.ckpt wr: 0.53, drill_25.ckpt wr: 0.45
27. 21:58:07, batch 36,  layers8filters64.ckpt wr: 0.59, drill_1.ckpt wr: 0.40
27. 21:59:35, batch 37,  layers8filters64.ckpt wr: 0.55, drill_2.ckpt wr: 0.43
27. 22:00:58, batch 38,  layers8filters64.ckpt wr: 0.56, drill_4.ckpt wr: 0.39
27. 22:02:24, batch 39,  layers8filters64.ckpt wr: 0.47, drill_4.ckpt wr: 0.51
27. 22:03:54, batch 40,  layers8filters64.ckpt wr: 0.50, drill_15.ckpt wr: 0.48
27. 22:05:12, batch 41,  layers8filters64.ckpt wr: 0.52, drill_31.ckpt wr: 0.45
27. 22:06:39, batch 42,  layers8filters64.ckpt wr: 0.44, drill_38.ckpt wr: 0.55
27. 22:08:04, batch 43,  layers8filters64.ckpt wr: 0.55, drill_13.ckpt wr: 0.38
