26. 15:16:08, batch 1,  layers8filters64.ckpt wr: 0.42,  wr: 0.55
26. 15:17:06, batch 2,  layers8filters64.ckpt wr: 0.38, layers8filters64.ckpt wr: 0.60
26. 15:18:03, batch 3,  layers8filters64.ckpt wr: 0.49, drill_2.ckpt wr: 0.47
26. 15:19:01, batch 4,  layers8filters64.ckpt wr: 0.50, layers8filters64.ckpt wr: 0.48
26. 15:20:02, batch 5,  layers8filters64.ckpt wr: 0.48, drill_4.ckpt wr: 0.48
26. 15:21:02, batch 6,  layers8filters64.ckpt wr: 0.48, drill_5.ckpt wr: 0.52
26. 15:22:02, batch 7,  layers8filters64.ckpt wr: 0.58, drill_3.ckpt wr: 0.41
26. 15:23:00, batch 8,  layers8filters64.ckpt wr: 0.45, drill_2.ckpt wr: 0.51
26. 15:23:57, batch 9,  layers8filters64.ckpt wr: 0.53, drill_6.ckpt wr: 0.45
26. 15:24:59, batch 10,  layers8filters64.ckpt wr: 0.48, drill_4.ckpt wr: 0.49
26. 15:26:04, batch 11,  layers8filters64.ckpt wr: 0.50, layers8filters64.ckpt wr: 0.46
26. 15:27:05, batch 12,  layers8filters64.ckpt wr: 0.41, drill_2.ckpt wr: 0.52
26. 15:28:04, batch 13,  layers8filters64.ckpt wr: 0.53, drill_6.ckpt wr: 0.44
26. 15:29:04, batch 14,  layers8filters64.ckpt wr: 0.37, drill_12.ckpt wr: 0.58
26. 15:30:06, batch 15,  layers8filters64.ckpt wr: 0.40, drill_7.ckpt wr: 0.56
26. 15:31:10, batch 16,  layers8filters64.ckpt wr: 0.51, drill_9.ckpt wr: 0.46
26. 15:32:13, batch 17,  layers8filters64.ckpt wr: 0.53, drill_4.ckpt wr: 0.44
26. 15:33:16, batch 18,  layers8filters64.ckpt wr: 0.52, drill_15.ckpt wr: 0.45
26. 15:34:14, batch 19,  layers8filters64.ckpt wr: 0.52, drill_1.ckpt wr: 0.45
26. 15:35:13, batch 20,  layers8filters64.ckpt wr: 0.52, drill_1.ckpt wr: 0.44
26. 15:36:11, batch 21,  layers8filters64.ckpt wr: 0.48, drill_12.ckpt wr: 0.51
26. 15:37:11, batch 22,  layers8filters64.ckpt wr: 0.52, drill_10.ckpt wr: 0.45
26. 15:38:09, batch 23,  layers8filters64.ckpt wr: 0.47, drill_6.ckpt wr: 0.50
26. 15:39:08, batch 24,  layers8filters64.ckpt wr: 0.52, drill_5.ckpt wr: 0.46
26. 15:40:08, batch 25,  layers8filters64.ckpt wr: 0.53, drill_3.ckpt wr: 0.41
26. 15:41:06, batch 26,  layers8filters64.ckpt wr: 0.47, drill_19.ckpt wr: 0.46
26. 15:42:09, batch 27,  layers8filters64.ckpt wr: 0.51, drill_9.ckpt wr: 0.48
26. 15:43:10, batch 28,  layers8filters64.ckpt wr: 0.51, drill_7.ckpt wr: 0.48
26. 15:44:15, batch 29,  layers8filters64.ckpt wr: 0.49, drill_14.ckpt wr: 0.47
26. 15:45:16, batch 30,  layers8filters64.ckpt wr: 0.48, drill_12.ckpt wr: 0.49
26. 15:46:17, batch 31,  layers8filters64.ckpt wr: 0.55, drill_14.ckpt wr: 0.43
26. 15:47:22, batch 32,  layers8filters64.ckpt wr: 0.45, drill_10.ckpt wr: 0.52
26. 15:48:27, batch 33,  layers8filters64.ckpt wr: 0.55, layers8filters64.ckpt wr: 0.41
26. 15:49:29, batch 34,  layers8filters64.ckpt wr: 0.55, drill_6.ckpt wr: 0.42
26. 15:50:28, batch 35,  layers8filters64.ckpt wr: 0.44, drill_27.ckpt wr: 0.51
26. 15:51:28, batch 36,  layers8filters64.ckpt wr: 0.56, drill_18.ckpt wr: 0.38
26. 15:52:31, batch 37,  layers8filters64.ckpt wr: 0.54, drill_34.ckpt wr: 0.43
26. 15:53:33, batch 38,  layers8filters64.ckpt wr: 0.55, drill_28.ckpt wr: 0.45
26. 15:54:34, batch 39,  layers8filters64.ckpt wr: 0.51, drill_32.ckpt wr: 0.48
26. 15:55:39, batch 40,  layers8filters64.ckpt wr: 0.48, drill_5.ckpt wr: 0.49
26. 15:56:39, batch 41,  layers8filters64.ckpt wr: 0.45, drill_37.ckpt wr: 0.52
