12. Mar 21:10:25, Step 0: 0.220509461426 176.081675836
12. Mar 22:21:43, Step 0: 0.458093158661 2.31775522787
12. Mar 23:34:56, Step 0: 0.489548762737 2.17739905439
13. Mar 00:47:06, Step 0: 0.50691411936 2.1040525085
13. Mar 02:03:24, Step 0: 0.512401746725 2.08202241452
13. Mar 03:20:49, Step 0: 0.52250363901 2.0330661181
13. Mar 04:37:22, Step 0: 0.525487627365 2.0117668036
13. Mar 05:50:29, Step 0: 0.535429403202 1.98842495476
13. Mar 07:02:25, Step 0: 0.536681222707 1.97991849928
13. Mar 08:17:54, Step 0: 0.537525473071 1.96691792104
13. Mar 09:32:42, Step 0: 0.547612809316 1.94784423475
13. Mar 10:42:35, Step 0: 0.550349344978 1.93680273834
1e-4 to 5e-5
13. Mar 12:16:01, Step 0: 0.550349344978 1.93680273834
13. Mar 13:25:46, Step 0: 0.555807860262 1.91869126403
13. Mar 14:40:12, Step 0: 0.557729257642 1.90799178608
13. Mar 15:50:13, Step 0: 0.559446870451 1.90525552428
13. Mar 17:00:37, Step 0: 0.557787481805 1.9116576541
13. Mar 18:14:18, Step 0: 0.557278020378 1.90316636143
13. Mar 19:29:08, Step 0: 0.5603930131 1.90390933957
13. Mar 20:47:18, Step 0: 0.561819505095 1.89027944733
13. Mar 22:03:41, Step 0: 0.561659388646 1.8894012579
13. Mar 23:15:47, Step 0: 0.566098981077 1.88355034786
14. Mar 00:31:58, Step 0: 0.564439592431 1.88114276581
14. Mar 01:46:10, Step 0: 0.560611353712 1.88521118957
14. Mar 03:02:31, Step 0: 0.563609898108 1.87422635421
14. Mar 04:15:34, Step 0: 0.567583697234 1.87725059557
14. Mar 05:29:14, Step 0: 0.562547307132 1.87289635837
14. Mar 06:44:18, Step 0: 0.568937409025 1.86782502244
14. Mar 07:57:08, Step 0: 0.570305676856 1.86170106764
14. Mar 09:10:43, Step 0: 0.56691411936 1.86266259558
14. Mar 10:26:30, Step 0: 0.566855895197 1.86078023991
14. Mar 11:43:59, Step 0: 0.569883551674 1.85765487509
14. Mar 12:57:14, Step 0: 0.571470160116 1.85524546894
14. Mar 14:11:06, Step 0: 0.569650655022 1.86114038536
14. Mar 15:23:24, Step 0: 0.571455604076 1.85340381346
14. Mar 16:33:38, Step 0: 0.567147016012 1.85745205813
14. Mar 17:41:15, Step 0: 0.570742358079 1.85057703077
14. Mar 18:55:31, Step 0: 0.570902474527 1.85497926456
14. Mar 20:10:50, Step 0: 0.572343522562 1.84602430885
14. Mar 21:25:16, Step 0: 0.574002911208 1.85103373944
14. Mar 22:38:45, Step 0: 0.570800582242 1.84544287744
14. Mar 23:54:03, Step 0: 0.572896652111 1.84182922425
15. Mar 01:07:40, Step 0: 0.575997088792 1.83964737439
15. Mar 02:23:14, Step 0: 0.574483260553 1.8387256346
15. Mar 03:42:58, Step 0: 0.572998544396 1.83870762163
15. Mar 05:01:42, Step 0: 0.573799126638 1.83950543673
15. Mar 06:15:38, Step 0: 0.578515283843 1.83190111197
15. Mar 07:29:18, Step 0: 0.578675400291 1.82847169273
15. Mar 08:39:42, Step 0: 0.572372634643 1.84171464806
15. Mar 09:49:17, Step 0: 0.574847161572 1.83762319505
15. Mar 10:59:18, Step 0: 0.575836972344 1.83518004309
5e-5 to 2.5e-5
15. Mar 11:29:10, Step 0: 0.575836972344 1.83518004309
15. Mar 12:32:18, Step 0: 0.579970887918 1.82144503718
15. Mar 13:43:32, Step 0: 0.579854439592 1.81706150039
15. Mar 14:51:47, Step 0: 0.581033478894 1.81853480198
15. Mar 15:59:21, Step 0: 0.578296943231 1.81978658959
15. Mar 17:08:49, Step 0: 0.576870451237 1.81998233817
15. Mar 18:20:24, Step 0: 0.577947598253 1.81889779758
15. Mar 19:28:34, Step 0: 0.581310043668 1.81297426562
15. Mar 20:40:45, Step 0: 0.580436681223 1.8144049289
to 1e-5
16. Mar 00:03:29, Step 0: 0.580436681223 1.8144049289
16. Mar 02:03:37, Step 0: 0.583173216885 1.80870063077
16. Mar 05:33:23, Step 0: 0.582459970888 1.80833797718
