01. 12:55:38, batch 63,  layers8filters64.ckpt wr: 0.55, drill_14.ckpt wr: 0.40
01. 12:56:41, batch 64,  layers8filters64.ckpt wr: 0.50, drill_30.ckpt wr: 0.45
01. 12:57:47, batch 65,  layers8filters64.ckpt wr: 0.52, drill_61.ckpt wr: 0.45
01. 12:58:58, batch 66,  layers8filters64.ckpt wr: 0.51, drill_41.ckpt wr: 0.47
01. 13:00:00, batch 67,  layers8filters64.ckpt wr: 0.53, drill_19.ckpt wr: 0.43
01. 13:00:58, batch 68,  layers8filters64.ckpt wr: 0.45, drill_62.ckpt wr: 0.53
01. 13:02:07, batch 69,  layers8filters64.ckpt wr: 0.52, drill_28.ckpt wr: 0.44
01. 13:03:15, batch 70,  layers8filters64.ckpt wr: 0.52, drill_10.ckpt wr: 0.45
01. 13:04:24, batch 71,  layers8filters64.ckpt wr: 0.53, drill_44.ckpt wr: 0.42
01. 13:05:30, batch 72,  layers8filters64.ckpt wr: 0.49, drill_43.ckpt wr: 0.46
01. 13:06:32, batch 73,  layers8filters64.ckpt wr: 0.48, drill_66.ckpt wr: 0.51
01. 13:07:42, batch 74,  layers8filters64.ckpt wr: 0.47, drill_19.ckpt wr: 0.51
01. 13:08:51, batch 75,  layers8filters64.ckpt wr: 0.48, drill_17.ckpt wr: 0.48
01. 13:09:46, batch 76,  layers8filters64.ckpt wr: 0.57, drill_41.ckpt wr: 0.39
01. 13:10:43, batch 77,  layers8filters64.ckpt wr: 0.47, drill_70.ckpt wr: 0.48
01. 13:11:42, batch 78,  layers8filters64.ckpt wr: 0.52, drill_46.ckpt wr: 0.44
01. 13:12:44, batch 79,  layers8filters64.ckpt wr: 0.45, drill_22.ckpt wr: 0.52
01. 13:13:39, batch 80,  layers8filters64.ckpt wr: 0.51, drill_36.ckpt wr: 0.46
01. 13:14:31, batch 81,  layers8filters64.ckpt wr: 0.48, drill_48.ckpt wr: 0.52
01. 13:15:30, batch 82,  layers8filters64.ckpt wr: 0.55, drill_30.ckpt wr: 0.44
01. 13:16:31, batch 83,  layers8filters64.ckpt wr: 0.56, drill_17.ckpt wr: 0.39
01. 13:17:29, batch 84,  layers8filters64.ckpt wr: 0.56, drill_6.ckpt wr: 0.42
01. 13:18:38, batch 85,  layers8filters64.ckpt wr: 0.48, drill_71.ckpt wr: 0.50
