12. Mar 21:14:55, Step 0: 0.212183406114 10.2407764458
12. Mar 22:20:50, Step 0: 0.474774381368 2.25668623316
12. Mar 23:32:21, Step 0: 0.503828238719 2.16653745969
13. Mar 00:44:26, Step 0: 0.51135371179 2.11556120215
13. Mar 01:56:23, Step 0: 0.522620087336 2.08177114495
13. Mar 03:11:15, Step 0: 0.52943231441 2.05053756184
13. Mar 04:22:14, Step 0: 0.531513828239 2.02950296963
13. Mar 05:33:13, Step 0: 0.534963609898 2.01659838458
13. Mar 06:42:47, Step 0: 0.537874818049 2.00230566054
13. Mar 07:49:38, Step 0: 0.540538573508 1.99427483875
13. Mar 08:56:25, Step 0: 0.543639010189 1.97660707641
13. Mar 10:02:56, Step 0: 0.543711790393 1.97038553234
13. Mar 11:08:18, Step 0: 0.541601164483 1.97311255965
1e-4 to 5e-5
13. Mar 11:38:05, Step 0: 0.541601164483 1.97311255965
13. Mar 11:38:05, Step 0: 0.541601164483 1.97311255965
13. Mar 12:14:16, Step 0: 0.541601164483 1.97311233164
13. Mar 13:21:35, Step 0: 0.549737991266 1.94698394428
13. Mar 14:34:40, Step 0: 0.543770014556 1.94609401221
13. Mar 15:47:12, Step 0: 0.553347889374 1.93028979453
13. Mar 16:58:14, Step 0: 0.556870451237 1.92908087323
13. Mar 18:09:52, Step 0: 0.55538573508 1.92432111613
13. Mar 19:24:21, Step 0: 0.555254730713 1.92525961482
13. Mar 20:39:35, Step 0: 0.55499272198 1.91985845907
13. Mar 21:53:49, Step 0: 0.557190684134 1.91253413344
13. Mar 23:08:57, Step 0: 0.558879184862 1.91493795329
14. Mar 00:22:37, Step 0: 0.558675400291 1.91403434048
14. Mar 01:37:37, Step 0: 0.556462882096 1.90859259854
14. Mar 02:50:56, Step 0: 0.562489082969 1.90184639814
14. Mar 04:05:32, Step 0: 0.559563318777 1.90455564048
14. Mar 05:19:25, Step 0: 0.564090247453 1.8979024691
14. Mar 06:31:34, Step 0: 0.564206695779 1.90285216046
14. Mar 07:46:31, Step 0: 0.565050946143 1.89310463394
14. Mar 09:01:15, Step 0: 0.565633187773 1.89041671075
14. Mar 10:16:36, Step 0: 0.565065502183 1.8902788773
14. Mar 11:29:50, Step 0: 0.563318777293 1.89082736093
14. Mar 12:43:50, Step 0: 0.565473071325 1.88654278149
14. Mar 13:57:13, Step 0: 0.562809315866 1.89503373214
14. Mar 15:11:11, Step 0: 0.564323144105 1.8872334308
14. Mar 16:22:34, Step 0: 0.566331877729 1.87859792035
14. Mar 17:35:02, Step 0: 0.563740902475 1.88585156216
14. Mar 18:45:39, Step 0: 0.565400291121 1.87980832373
14. Mar 19:58:30, Step 0: 0.5696069869 1.87327349074
14. Mar 21:08:41, Step 0: 0.569927219796 1.87705849519
14. Mar 22:19:34, Step 0: 0.570043668122 1.87370363598
14. Mar 23:25:53, Step 0: 0.568617176128 1.87961246115
15. Mar 00:28:48, Step 0: 0.568253275109 1.87513920152
15. Mar 01:40:34, Step 0: 0.567016011645 1.87357503703
15. Mar 02:53:18, Step 0: 0.56770014556 1.86804722044
15. Mar 04:04:30, Step 0: 0.571615720524 1.86537491609
15. Mar 05:17:33, Step 0: 0.571484716157 1.86789570625
15. Mar 06:25:32, Step 0: 0.569883551674 1.86965242715
15. Mar 07:29:24, Step 0: 0.570669577875 1.86518863003
15. Mar 08:37:42, Step 0: 0.57133915575 1.86113479906
15. Mar 09:46:42, Step 0: 0.570276564774 1.86550146293
15. Mar 10:56:04, Step 0: 0.573144104803 1.86112659061
5e-5 to 2.5e-5
15. Mar 11:30:51, Step 0: 0.573144104803 1.86112659061
15. Mar 12:31:16, Step 0: 0.574468704512 1.85681419368
15. Mar 13:36:13, Step 0: 0.57634643377 1.85263837611
15. Mar 14:44:15, Step 0: 0.575342066958 1.8504239205
15. Mar 15:48:24, Step 0: 0.573449781659 1.84926014564
15. Mar 16:51:26, Step 0: 0.573289665211 1.85313099672
15. Mar 17:56:18, Step 0: 0.57634643377 1.85022247162
15. Mar 19:00:01, Step 0: 0.575283842795 1.85010971953
15. Mar 20:05:20, Step 0: 0.577132459971 1.84824058856
15. Mar 21:08:26, Step 0: 0.576011644833 1.85314034523
15. Mar 23:58:56, Step 0: 0.590625 1.81624399821
16. Mar 00:03:13, Step 0: 0.576011644833 1.85314057324
16. Mar 01:43:25, Step 0: 0.578165938865 1.8432353762
to 1e-5
16. Mar 04:04:00, Step 0: 0.576302765648 1.84269396096
16. Mar 06:47:07, Step 0: 0.578151382824 1.84082163782
