28. 17:04:22, batch 1,  layers8filters64.ckpt wr: 0.55,  wr: 0.41
28. 17:05:17, batch 2,  layers8filters64.ckpt wr: 0.48, drill_1.ckpt wr: 0.48
28. 17:06:12, batch 3,  layers8filters64.ckpt wr: 0.51, drill_2.ckpt wr: 0.46
28. 17:07:06, batch 4,  layers8filters64.ckpt wr: 0.52, drill_1.ckpt wr: 0.44
28. 17:08:01, batch 5,  layers8filters64.ckpt wr: 0.51, drill_3.ckpt wr: 0.46
28. 17:08:56, batch 6,  layers8filters64.ckpt wr: 0.45, drill_3.ckpt wr: 0.50
28. 17:09:50, batch 7,  layers8filters64.ckpt wr: 0.46, drill_6.ckpt wr: 0.50
28. 17:10:48, batch 8,  layers8filters64.ckpt wr: 0.52, drill_5.ckpt wr: 0.42
28. 17:11:41, batch 9,  layers8filters64.ckpt wr: 0.52, drill_6.ckpt wr: 0.46
28. 17:12:33, batch 10,  layers8filters64.ckpt wr: 0.51, drill_3.ckpt wr: 0.46
28. 17:13:28, batch 11,  layers8filters64.ckpt wr: 0.52, drill_6.ckpt wr: 0.47
28. 17:14:22, batch 12,  layers8filters64.ckpt wr: 0.45, drill_8.ckpt wr: 0.51
28. 17:15:17, batch 13,  layers8filters64.ckpt wr: 0.45, drill_2.ckpt wr: 0.53
28. 17:16:12, batch 14,  layers8filters64.ckpt wr: 0.45, drill_10.ckpt wr: 0.51
28. 17:17:08, batch 15,  layers8filters64.ckpt wr: 0.55, drill_13.ckpt wr: 0.45
28. 17:18:01, batch 16,  layers8filters64.ckpt wr: 0.52, drill_11.ckpt wr: 0.45
28. 17:18:56, batch 17,  layers8filters64.ckpt wr: 0.45, drill_15.ckpt wr: 0.52
28. 17:19:53, batch 18,  layers8filters64.ckpt wr: 0.42, drill_16.ckpt wr: 0.55
28. 17:20:50, batch 19,  layers8filters64.ckpt wr: 0.55, drill_17.ckpt wr: 0.42
28. 17:21:44, batch 20,  layers8filters64.ckpt wr: 0.54, drill_15.ckpt wr: 0.46
28. 17:22:46, batch 21,  layers8filters64.ckpt wr: 0.48, drill_2.ckpt wr: 0.51
