1e-4
17. Mar 21:19:20, Step 0: 0.204816471027 0.319132
17. Mar 23:21:25, Step 0: 0.43676169182 0.040758
18. Mar 01:20:40, Step 0: 0.459660890628 0.0385314
18. Mar 03:30:55, Step 0: 0.469964598472 0.0378309
18. Mar 05:39:17, Step 0: 0.486062977455 0.036458
18. Mar 08:05:00, Step 0: 0.501024781069 0.0356355
18. Mar 10:30:52, Step 0: 0.508151667598 0.0351991
18. Mar 12:44:56, Step 0: 0.510871995528 0.0347249
18. Mar 14:54:19, Step 0: 0.518762809763 0.0342964
18. Mar 17:01:18, Step 0: 0.526010806782 0.0340121
18. Mar 19:17:28, Step 0: 0.528321222284 0.0337589
18. Mar 21:34:10, Step 0: 0.532476243712 0.0333817
19. Mar 00:08:44, Step 0: 0.532215390348 0.0332002
19. Mar 02:19:51, Step 0: 0.534227687721 0.0330928
19. Mar 04:19:11, Step 0: 0.540190050307 0.0328352
19. Mar 06:33:36, Step 0: 0.540190050307 0.0325932
19. Mar 08:53:49, Step 0: 0.540488168437 0.0326811
19. Mar 11:34:47, Step 0: 0.546608906279 0.0324175
19. Mar 14:10:18, Step 0: 0.543422768772 0.0323614
19. Mar 16:43:05, Step 0: 0.547969070244 0.0320612
19. Mar 19:16:38, Step 0: 0.547465995901 0.0321323
5e-5
19. Mar 20:20:42, Step 0: 0.547465995901 0.0321323
19. Mar 22:42:41, Step 0: 0.550186323831 0.0317734
20. Mar 00:50:07, Step 0: 0.552981181293 0.0317575
20. Mar 02:12:17, Step 0: 0.554080491895 0.0316188
20. Mar 03:48:05, Step 0: 0.555300912987 0.0315513
20. Mar 05:42:40, Step 0: 0.555608347308 0.0315093
20. Mar 07:52:03, Step 0: 0.556539966462 0.0314917
20. Mar 10:10:51, Step 0: 0.557993292342 0.0314358
20. Mar 12:25:13, Step 0: 0.557732438979 0.0313644
20. Mar 14:32:31, Step 0: 0.558123719024 0.0314396
20. Mar 16:25:16, Step 0: 0.559334823924 0.0312762
20. Mar 18:31:28, Step 0: 0.55779765232 0.0313202
20. Mar 20:56:56, Step 0: 0.559474566797 0.0313315
20. Mar 23:19:36, Step 0: 0.56009875163 0.0312271
21. Mar 00:54:35, Step 0: 0.560713620272 0.0312216
21. Mar 02:53:20, Step 0: 0.562017887088 0.031248
21. Mar 04:53:33, Step 0: 0.561682504192 0.0311609
21. Mar 07:21:38, Step 0: 0.56221352711 0.0311003
21. Mar 10:05:44, Step 0: 0.56257685858 0.0309996
21. Mar 12:45:30, Step 0: 0.563126513881 0.0310577
2.5e-5
21. Mar 15:27:58, Step 0: 0.563126513881 0.0310577
21. Mar 17:47:17, Step 0: 0.565744363704 0.0308535
21. Mar 20:04:59, Step 0: 0.567039314328 0.0308234
21. Mar 22:14:57, Step 0: 0.564244456866 0.0308232
22. Mar 00:41:59, Step 0: 0.565874790386 0.0308175
22. Mar 03:06:17, Step 0: 0.566405813304 0.0308649
22. Mar 05:33:28, Step 0: 0.565884106577 0.0308291
22. Mar 07:58:36, Step 0: 0.565884106577 0.0307347
22. Mar 10:16:45, Step 0: 0.566033165642 0.0308036
22. Mar 12:33:36, Step 0: 0.567458542948 0.0307589
22. Mar 14:56:06, Step 0: 0.566741196199 0.030757
22. Mar 17:11:25, Step 0: 0.568269051612 0.0307185
22. Mar 19:23:57, Step 0: 0.567831190609 0.030661
1e-5
22. Mar 21:11:09, Step 0: 0.567831190609 0.030661
22. Mar 23:20:52, Step 0: 0.569154089808 0.0306333
23. Mar 01:40:46, Step 0: 0.568464691634 0.0306104
23. Mar 03:54:34, Step 0: 0.569675796534 0.0306271
23. Mar 05:41:47, Step 0: 0.569209986957 0.0306096
23. Mar 07:26:50, Step 0: 0.570281348985 0.0305902
23. Mar 09:16:33, Step 0: 0.569918017514 0.0305834
23. Mar 11:31:00, Step 0: 0.570039128004 0.0305749
23. Mar 13:26:54, Step 0: 0.570653996646 0.0305667
23. Mar 14:41:04, Step 0: 0.570551518539 0.0305781
23. Mar 16:27:38, Step 0: 0.570216135644 0.0305593
23. Mar 18:33:44, Step 0: 0.569032979318 0.0305495
23. Mar 20:59:29, Step 0: 0.570411775666 0.0305429
