1e-4
17. Mar 21:19:29, Step 0: 0.212371902366 3.43351
17. Mar 23:21:25, Step 0: 0.405133221539 0.0431286
18. Mar 01:22:30, Step 0: 0.444233277436 0.0398059
18. Mar 03:37:32, Step 0: 0.467207005776 0.0381445
18. Mar 05:51:26, Step 0: 0.481712316005 0.0372541
18. Mar 08:08:29, Step 0: 0.49225824483 0.0363471
18. Mar 10:30:52, Step 0: 0.504527669089 0.0357859
18. Mar 12:44:56, Step 0: 0.508291410471 0.0349613
18. Mar 14:54:19, Step 0: 0.509362772499 0.0348248
18. Mar 17:01:18, Step 0: 0.50864542575 0.0343479
18. Mar 19:17:28, Step 0: 0.519517421278 0.033927
18. Mar 21:34:10, Step 0: 0.522787404509 0.0336466
19. Mar 00:08:44, Step 0: 0.522591764487 0.0334639
19. Mar 02:19:51, Step 0: 0.533119060928 0.0331654
19. Mar 04:19:11, Step 0: 0.537376560462 0.0329541
19. Mar 06:33:36, Step 0: 0.535382895472 0.0326551
19. Mar 08:54:55, Step 0: 0.542919694429 0.0324453
19. Mar 11:34:47, Step 0: 0.541121669462 0.0324391
19. Mar 14:10:18, Step 0: 0.546115148127 0.0320266
19. Mar 16:43:05, Step 0: 0.546506428172 0.0320466
19. Mar 19:16:38, Step 0: 0.546907024408 0.0317912
5e-5
19. Mar 20:20:52, Step 0: 0.546907024408 0.0317912
19. Mar 22:42:41, Step 0: 0.555123905347 0.031352
20. Mar 00:57:57, Step 0: 0.555710825415 0.0312377
20. Mar 03:13:46, Step 0: 0.556456120738 0.0312181
20. Mar 05:38:52, Step 0: 0.556092789268 0.0311237
20. Mar 07:52:03, Step 0: 0.557862865661 0.0311066
20. Mar 10:16:55, Step 0: 0.555608347308 0.0310106
20. Mar 12:45:16, Step 0: 0.559390721073 0.0310547
20. Mar 15:11:34, Step 0: 0.561766349916 0.0309542
20. Mar 17:26:14, Step 0: 0.559344140116 0.0309027
20. Mar 19:08:12, Step 0: 0.553959381405 0.0309028
20. Mar 21:15:14, Step 0: 0.561086267934 0.0308089
20. Mar 23:41:31, Step 0: 0.56185019564 0.0309257
21. Mar 02:24:22, Step 0: 0.564495994038 0.0307386
21. Mar 04:53:33, Step 0: 0.561076951742 0.0306684
21. Mar 07:21:38, Step 0: 0.562772498603 0.0306694
21. Mar 10:09:46, Step 0: 0.563732066331 0.0306087
21. Mar 12:58:08, Step 0: 0.565576672256 0.0306341
2.5e-5
21. Mar 15:27:49, Step 0: 0.565576672256 0.0306341
21. Mar 17:55:06, Step 0: 0.567029998137 0.0304204
21. Mar 20:13:39, Step 0: 0.568082727781 0.0303834
21. Mar 22:14:57, Step 0: 0.568660331656 0.0303354
22. Mar 00:43:53, Step 0: 0.568269051612 0.0303231
22. Mar 03:06:17, Step 0: 0.567989565865 0.0303445
22. Mar 05:38:06, Step 0: 0.567700763928 0.0303497
22. Mar 08:00:16, Step 0: 0.568008198249 0.0302986
22. Mar 10:16:45, Step 0: 0.569386994597 0.0302154
22. Mar 12:51:27, Step 0: 0.569629215577 0.0302351
22. Mar 15:40:21, Step 0: 0.569731693684 0.0302462
22. Mar 18:23:41, Step 0: 0.570784423328 0.0302185
1e-5
22. Mar 21:11:21, Step 0: 0.570784423328 0.0302185
22. Mar 23:20:52, Step 0: 0.571539034843 0.0301179
23. Mar 01:44:40, Step 0: 0.571203651947 0.0301207
23. Mar 04:12:19, Step 0: 0.57188373393 0.0300844
23. Mar 06:31:58, Step 0: 0.572181852059 0.0300956
23. Mar 08:40:27, Step 0: 0.57248928638 0.0300881
23. Mar 10:18:21, Step 0: 0.572470653997 0.0300666
23. Mar 12:18:08, Step 0: 0.572470653997 0.0300672
23. Mar 14:14:12, Step 0: 0.571930314887 0.030045
23. Mar 16:27:38, Step 0: 0.572461337805 0.0300763
23. Mar 18:33:44, Step 0: 0.573085522638 0.0300245
23. Mar 20:59:29, Step 0: 0.572088690143 0.030041
