1e-4
17. Mar 21:19:02, Step 0: 0.221147754798 4.72391
17. Mar 23:40:04, Step 0: 0.467561021055 0.0359594
18. Mar 01:39:52, Step 0: 0.491391839016 0.0339348
18. Mar 03:46:25, Step 0: 0.509204397242 0.0329177
18. Mar 06:10:11, Step 0: 0.511086267934 0.0325351
18. Mar 08:41:01, Step 0: 0.526634991615 0.0316842
18. Mar 11:06:13, Step 0: 0.530538475871 0.03128
18. Mar 13:30:31, Step 0: 0.536808272778 0.0310002
18. Mar 16:01:16, Step 0: 0.539826718837 0.0308151
18. Mar 19:03:21, Step 0: 0.540758337991 0.0305398
18. Mar 21:48:07, Step 0: 0.546273523384 0.0303937
19. Mar 01:01:34, Step 0: 0.547531209242 0.030268
19. Mar 03:51:17, Step 0: 0.553838270915 0.0300319
19. Mar 06:26:08, Step 0: 0.551798024967 0.0299202
19. Mar 08:55:01, Step 0: 0.554620831004 0.0298346
19. Mar 11:50:41, Step 0: 0.553670579467 0.0297485
19. Mar 14:18:54, Step 0: 0.560303707844 0.0296028
19. Mar 16:54:07, Step 0: 0.563005403391 0.0295028
19. Mar 19:24:52, Step 0: 0.558487050494 0.029656
5e-5
19. Mar 20:19:41, Step 0: 0.558487050494 0.029656
19. Mar 23:05:55, Step 0: 0.56638718092 0.0291934
20. Mar 01:08:46, Step 0: 0.561794298491 0.0292063
20. Mar 03:27:57, Step 0: 0.565865474194 0.0291348
20. Mar 05:47:22, Step 0: 0.568147941122 0.0289995
20. Mar 08:16:43, Step 0: 0.567961617291 0.0290006
20. Mar 10:40:11, Step 0: 0.570821688094 0.028985
20. Mar 13:11:22, Step 0: 0.570989379542 0.0289589
20. Mar 15:50:21, Step 0: 0.572424073039 0.0288675
20. Mar 18:43:14, Step 0: 0.572200484442 0.0288963
20. Mar 21:19:55, Step 0: 0.568576485933 0.0289204
20. Mar 23:57:01, Step 0: 0.571455189119 0.0288677
21. Mar 02:40:46, Step 0: 0.572582448295 0.0288667
21. Mar 05:04:44, Step 0: 0.571865101546 0.0288382
21. Mar 07:45:26, Step 0: 0.573169368362 0.0288067
21. Mar 10:31:23, Step 0: 0.571865101546 0.0288712
21. Mar 13:38:55, Step 0: 0.575973542016 0.028695
2.5e-5
21. Mar 15:27:17, Step 0: 0.575973542016 0.028695
21. Mar 18:03:52, Step 0: 0.576020122974 0.0285588
21. Mar 20:17:04, Step 0: 0.577119433576 0.0285478
21. Mar 22:27:17, Step 0: 0.578507546115 0.0284849
22. Mar 00:58:28, Step 0: 0.57768772126 0.0285155
22. Mar 03:25:12, Step 0: 0.576113284889 0.0285515
22. Mar 05:43:09, Step 0: 0.577380286939 0.028501
22. Mar 08:00:32, Step 0: 0.576951742128 0.0284699
22. Mar 10:44:50, Step 0: 0.577967207006 0.0284725
22. Mar 13:40:48, Step 0: 0.579401900503 0.0284363
22. Mar 16:39:09, Step 0: 0.579886342463 0.0283942
22. Mar 19:36:40, Step 0: 0.580081982486 0.0283834
1e-5
22. Mar 21:10:20, Step 0: 0.580081982486 0.0283834
22. Mar 23:45:35, Step 0: 0.580920439724 0.0283455
23. Mar 02:14:22, Step 0: 0.581479411217 0.0283381
23. Mar 04:44:02, Step 0: 0.581442146451 0.0283458
23. Mar 07:14:51, Step 0: 0.581563256941 0.0283358
23. Mar 09:33:16, Step 0: 0.581516675983 0.028337
23. Mar 12:07:29, Step 0: 0.58047326253 0.0283263
23. Mar 14:17:51, Step 0: 0.580948388299 0.0283115
23. Mar 16:29:02, Step 0: 0.581311719769 0.0283059
23. Mar 18:44:55, Step 0: 0.581591205515 0.0283218
23. Mar 21:24:25, Step 0: 0.581358300727 0.0283005
