1e-4
17. Mar 21:19:17, Step 0: 0 nan
17. Mar 23:21:25, Step 0: 0 0.0463246
18. Mar 01:20:40, Step 0: 0 0.0397465
18. Mar 03:30:55, Step 0: 0 0.0380967
18. Mar 05:33:10, Step 0: 0 0.0371458
18. Mar 07:01:19, Step 0: 0 0.0364153
18. Mar 08:36:41, Step 0: 0 0.0358451
18. Mar 10:48:39, Step 0: 0 0.0352862
18. Mar 13:00:16, Step 0: 0 0.0348711
18. Mar 15:19:16, Step 0: 0 0.0345596
18. Mar 17:49:10, Step 0: 0 0.034326
18. Mar 20:09:18, Step 0: 0 0.0340442
18. Mar 22:38:42, Step 0: 0 0.0338012
19. Mar 01:21:30, Step 0: 0 0.0335871
19. Mar 03:57:59, Step 0: 0 0.0333322
19. Mar 06:26:08, Step 0: 0 0.0332398
19. Mar 08:53:49, Step 0: 0 0.0330829
19. Mar 11:34:47, Step 0: 0 0.0329267
19. Mar 14:10:18, Step 0: 0 0.0327644
19. Mar 16:43:05, Step 0: 0 0.0326109
19. Mar 19:16:38, Step 0: 0 0.0326233
5e-5
19. Mar 19:16:38, Step 0: 0 0.0326233
19. Mar 22:42:41, Step 0: 0 0.0322882
20. Mar 00:50:07, Step 0: 0 0.0321757
20. Mar 02:12:16, Step 0: 0 0.0321557
20. Mar 03:48:04, Step 0: 0 0.0320997
20. Mar 05:42:40, Step 0: 0 0.0320431
20. Mar 07:52:03, Step 0: 0 0.0319304
20. Mar 10:10:51, Step 0: 0 0.0318903
20. Mar 12:25:13, Step 0: 0 0.0319252
20. Mar 14:32:31, Step 0: 0 0.031875
20. Mar 16:25:16, Step 0: 0 0.0318271
20. Mar 18:31:28, Step 0: 0 0.0317536
20. Mar 20:56:56, Step 0: 0 0.0317188
20. Mar 23:19:36, Step 0: 0 0.0316569
21. Mar 00:54:35, Step 0: 0 0.0316368
21. Mar 02:53:20, Step 0: 0 0.0315906
21. Mar 04:53:33, Step 0: 0 0.0315969
21. Mar 07:21:38, Step 0: 0 0.0315203
21. Mar 10:05:44, Step 0: 0 0.0315137
21. Mar 12:45:30, Step 0: 0 0.0315375
2.5e-5
21. Mar 12:45:30, Step 0: 0 0.0315375
21. Mar 17:47:17, Step 0: 0 0.0313793
21. Mar 20:01:29, Step 0: 0 0.0313523
21. Mar 21:35:26, Step 0: 0 0.0312925
21. Mar 22:45:52, Step 0: 0 0.0313629
22. Mar 00:49:03, Step 0: 0 0.031323
22. Mar 03:06:17, Step 0: 0 0.0312478
22. Mar 05:33:28, Step 0: 0 0.0311856
22. Mar 07:58:36, Step 0: 0 0.0311716
22. Mar 10:16:45, Step 0: 0 0.0312135
22. Mar 12:33:36, Step 0: 0 0.0311771
22. Mar 14:56:06, Step 0: 0 0.031137
22. Mar 17:11:25, Step 0: 0 0.031152
22. Mar 19:23:57, Step 0: 0 0.031176
1e-5
22. Mar 19:23:57, Step 0: 0 0.031176
22. Mar 23:20:52, Step 0: 0 0.0311502
23. Mar 01:40:46, Step 0: 0 0.0309902
23. Mar 03:54:34, Step 0: 0 0.0311649
23. Mar 05:41:47, Step 0: 0 0.0310451
23. Mar 07:26:50, Step 0: 0 0.0311001
23. Mar 09:16:33, Step 0: 0 0.031053
23. Mar 11:31:00, Step 0: 0 0.0310785
23. Mar 13:26:54, Step 0: 0 0.0310632
23. Mar 14:41:04, Step 0: 0 0.0310556
23. Mar 16:27:38, Step 0: 0 0.0311079
23. Mar 18:33:44, Step 0: 0 0.0310259
23. Mar 20:59:29, Step 0: 0 0.0310315
