06. Feb 00:36:28, Step 94000: 0.5625 1.89821065267
06. Feb 00:39:08, Step 95000: 0.595833333333 2.1301226298
06. Feb 00:41:47, Step 96000: 0.55 1.93122914632
06. Feb 00:44:26, Step 97000: 0.55 1.88741798401
06. Feb 00:47:01, Step 98000: 0.558333333333 1.86279881795
06. Feb 00:49:37, Step 99000: 0.579166666667 1.83070805868
06. Feb 00:52:13, Step 100000: 0.6 1.8406162262
06. Feb 00:54:48, Step 101000: 0.545833333333 1.86516787211
06. Feb 00:57:21, Step 102000: 0.6125 1.78264478048
06. Feb 00:59:54, Step 103000: 0.575 1.82392400106
06. Feb 01:02:31, Step 104000: 0.566666666667 1.79573186239
06. Feb 01:05:03, Step 105000: 0.595833333333 1.78151779175
06. Feb 01:07:38, Step 106000: 0.604166666667 1.76809870402
06. Feb 01:10:12, Step 107000: 0.55 1.87570368449
06. Feb 01:12:48, Step 108000: 0.566666666667 1.84867858887
06. Feb 01:15:24, Step 109000: 0.570833333333 1.79332605998
06. Feb 01:17:57, Step 110000: 0.604166666667 1.7587378184
06. Feb 01:20:30, Step 111000: 0.595833333333 1.80683097839
06. Feb 01:23:03, Step 112000: 0.5875 1.76738459269
06. Feb 01:25:38, Step 113000: 0.604166666667 1.77455012004
06. Feb 01:28:14, Step 114000: 0.625 1.78390846252
06. Feb 01:30:50, Step 115000: 0.5875 1.92579116821
06. Feb 01:33:24, Step 116000: 0.583333333333 1.83542556763
06. Feb 01:35:57, Step 117000: 0.5625 1.91049982707
06. Feb 01:36:45, Step 117297: 0.566666666667 1.784923172
06. Feb 08:37:43, Step 0: 0.140262008734 130.124251302
06. Feb 09:46:54, Step 0: 0.163013100437 89.7122314453
06. Feb 11:27:35, Step 0: 0.183333333333 95.9823893229
06. Feb 11:29:23, Step 0: 0.191666666667 1682.5078125
06. Feb 11:29:29, Step 20: 0.0958333333333 145.156559245
06. Feb 11:29:35, Step 40: 0.258333333333 56.661332194
06. Feb 11:29:42, Step 60: 0.229166666667 35.3696695964
06. Feb 11:29:48, Step 80: 0.233333333333 26.7699788411
06. Feb 11:29:54, Step 100: 0.2 22.9990966797
06. Feb 11:31:59, Step 1000: 0.354166666667 4.40389811198
06. Feb 11:34:22, Step 2000: 0.3625 3.23730570475
06. Feb 11:36:45, Step 3000: 0.379166666667 2.89859390259
06. Feb 11:39:10, Step 4000: 0.4375 2.62370554606
06. Feb 11:41:35, Step 5000: 0.420833333333 2.52201588949
06. Feb 11:43:57, Step 6000: 0.408333333333 2.5478322347
06. Feb 11:46:22, Step 7000: 0.458333333333 2.3966196696
06. Feb 11:48:53, Step 8000: 0.4625 2.33677775065
06. Feb 11:51:22, Step 9000: 0.466666666667 2.26389872233
06. Feb 11:53:48, Step 10000: 0.525 2.2155166626
06. Feb 11:56:14, Step 11000: 0.525 2.19518356323
06. Feb 11:58:40, Step 12000: 0.495833333333 2.33443908691
06. Feb 12:01:11, Step 13000: 0.525 2.13815282186
06. Feb 12:03:41, Step 14000: 0.520833333333 2.17020467122
06. Feb 12:06:06, Step 15000: 0.5125 2.11604728699
06. Feb 12:08:30, Step 16000: 0.545833333333 2.04553985596
06. Feb 12:10:52, Step 17000: 0.5 2.10867080688
06. Feb 12:13:16, Step 18000: 0.533333333333 2.07621027629
06. Feb 12:15:39, Step 19000: 0.525 2.10708363851
06. Feb 12:17:59, Step 20000: 0.5375 2.06944605509
06. Feb 12:20:26, Step 21000: 0.529166666667 2.10312983195
06. Feb 12:22:52, Step 22000: 0.545833333333 2.02794062297
06. Feb 12:25:20, Step 23000: 0.545833333333 2.2910736084
06. Feb 12:27:50, Step 24000: 0.508333333333 2.21807428996
06. Feb 12:30:18, Step 25000: 0.525 2.12764269511
06. Feb 12:32:45, Step 26000: 0.479166666667 2.09356117249
06. Feb 12:35:13, Step 27000: 0.516666666667 2.01072998047
06. Feb 12:37:41, Step 28000: 0.529166666667 2.07376797994
06. Feb 12:40:10, Step 29000: 0.5625 2.05715955098
06. Feb 12:42:39, Step 30000: 0.541666666667 2.04149856567
06. Feb 12:45:08, Step 31000: 0.545833333333 2.00071398417
06. Feb 12:47:38, Step 32000: 0.558333333333 2.04147122701
06. Feb 12:50:07, Step 33000: 0.545833333333 2.01353530884
06. Feb 12:52:37, Step 34000: 0.545833333333 2.03611017863
06. Feb 12:55:07, Step 35000: 0.579166666667 1.98983853658
06. Feb 12:57:35, Step 36000: 0.570833333333 2.02981770833
06. Feb 12:59:57, Step 37000: 0.508333333333 2.14271774292
06. Feb 13:02:15, Step 38000: 0.55 2.00242513021
06. Feb 13:04:34, Step 39000: 0.558333333333 2.10159962972
06. Feb 13:06:52, Step 40000: 0.529166666667 2.05001296997
06. Feb 13:09:12, Step 41000: 0.554166666667 2.16658681234
06. Feb 13:11:33, Step 42000: 0.529166666667 2.12954190572
06. Feb 13:13:54, Step 43000: 0.5375 2.03070500692
06. Feb 13:16:11, Step 44000: 0.545833333333 2.04632911682
06. Feb 13:18:34, Step 45000: 0.558333333333 1.99760843913
06. Feb 13:21:00, Step 46000: 0.554166666667 1.9880850474
06. Feb 13:23:28, Step 47000: 0.5625 1.99165852865
06. Feb 13:25:55, Step 48000: 0.541666666667 2.08731231689
06. Feb 13:28:24, Step 49000: 0.5875 1.96313476562
06. Feb 13:30:51, Step 50000: 0.5375 1.98979784648
06. Feb 13:33:19, Step 51000: 0.558333333333 2.00825398763
06. Feb 13:35:49, Step 52000: 0.558333333333 1.94275220235
06. Feb 13:38:20, Step 53000: 0.5625 1.93324979146
06. Feb 13:40:49, Step 54000: 0.579166666667 2.00353012085
06. Feb 13:43:18, Step 55000: 0.545833333333 2.01173146566
06. Feb 13:45:47, Step 56000: 0.5625 2.75560353597
